School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
EVERGREEN MIDDLE SCHOOL	2015-16	252	90.9%	0%	3.2%	6%	0.4%	6%	0%	0%	93.7%	92.5%	96.4%	96.8%	96.4%	94.4%	229	0	8	15	1	15	0	0	16	19	9	8	9	14	Y	PUBLIC SCHOOL	CENTRAL VALLEY SCHOOL DISTRICT	14221 E 16TH AVENUE	SPOKANE VALLEY	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
EVERGREEN MIDDLE SCHOOL	2015-16	365	73.2%	0%	23.8%	3%	0.5%	4.1%	0.5%	0.3%	96.2%	75.9%	96.2%	96.2%	96.7%	94.8%	267	0	87	11	2	15	2	1	14	88	14	14	12	19	Y	PUBLIC SCHOOL	EVERETT SCHOOL DISTRICT	7621 BEVERLY LN.	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
EVERGREEN MIDDLE SCHOOL	2015-16	395	90.4%	0%	4.1%	5.6%	1.3%	4.3%	0.3%	0%	95.2%	95.7%	97%	98%	96.7%	95.7%	357	0	16	22	5	17	1	0	19	17	12	8	13	17	Y	PUBLIC SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	6900 208TH AVE NE	REDMOND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
EVERGREEN SCHOOL	2015-16	4	75%	0%	25%	0%	0%	0%	0%	0%	75%	75%	100%	100%	100%	100%	3	0	1	0	0	0	0	0	1	1	0	0	0	0	Y	PUBLIC SCHOOL	EVERGREEN SCHOOL DISTRICT (STEVENS)	3342 ADDY-GIFFORD RD	GIFFORD	STEVENS	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
EVERGREEN SCHOOL	2015-16	51	64.7%	35.3%	0%	0%	0%	0%	0%	0%	64.7%	64.7%	100%	100%	100%	100%	33	18	0	0	0	0	0	0	18	18	0	0	0	0	Y	PRIVATE SCHOOL	SHORELINE SCHOOL DISTRICT	15201 MERIDIAN AVE N	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
EXCEL PUBLIC CHARTER SCHOOL	2015-16	70	88.6%	0%	11.4%	0%	0%	0%	0%	0%	97.1%	88.6%	97.1%	97.1%	97.1%	97.1%	62	0	8	0	0	0	0	0	2	8	2	2	2	2	Y	CHARTER SCHOOL	KENT SCHOOL DISTRICT	19300 108TH AVE SE	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
EXPLORER ACADEMY	2015-16	7	85.7%	0%	14.3%	0%	0%	0%	0%	0%	85.7%	85.7%	100%	100%	100%	100%	6	0	1	0	0	0	0	0	1	1	0	0	0	0	Y	PUBLIC SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	1962 HOOVER AVE SE	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -12	Y	Y
EXPLORER MIDDLE SCHOOL	2015-16	333	66.7%	0.3%	30.6%	2.4%	0.6%	2.1%	0%	0%	68.2%	68.2%	98.2%	97.6%	97.3%	97%	222	1	102	8	2	7	0	0	106	106	6	8	9	10	Y	PUBLIC SCHOOL	MUKILTEO SCHOOL DISTRICT	9600 SHARON DRIVE	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
EXPLORER WEST MIDDLE SCHOOL	2015-16	38	89.5%	0%	7.9%	2.6%	0%	2.6%	0%	0%	97.4%	100%	97.4%	94.7%	97.4%	100%	34	0	3	1	0	1	0	0	1	0	1	2	1	0	Y	PRIVATE SCHOOL	HIGHLINE SCHOOL DISTRICT	10015 28TH AVE SW	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
FAIRHAVEN MIDDLE SCHOOL	2015-16	189	86.2%	1.1%	3.2%	9.5%	2.1%	8.5%	0%	0%	93.7%	94.2%	97.9%	97.4%	93.7%	93.1%	163	2	6	18	4	16	0	0	12	11	4	5	12	13	Y	PUBLIC SCHOOL	BELLINGHAM SCHOOL DISTRICT	110 PARK RIDGE RD	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
FAIRVIEW CHRISTIAN SCHOOL	2015-16	7	85.7%	0%	0%	14.3%	0%	14.3%	0%	0%	85.7%	85.7%	85.7%	85.7%	85.7%	85.7%	6	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	844 NE 78TH ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
FAIRWOOD ELEMENTARY SCHOOL	2015-16	61	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	61	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	16600 148TH AVE SE	RENTON	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
FAITH LUTHERAN SCHOOL	2015-16	5	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	NORTH THURSTON PUBLIC SCHOOLS	7075 PACIFIC AVE SE	LACEY	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	P-6	Y	Y
FAITH LUTHERAN SCHOOL	2015-16	8	50%	37.5%	0%	12.5%	0%	12.5%	0%	0%	50%	50%	87.5%	87.5%	87.5%	87.5%	4	3	0	1	0	1	0	0	4	4	1	1	1	1	Y	PRIVATE SCHOOL	TACOMA SCHOOL DISTRICT	113 S 96TH ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
FAMILY ACADEMY/ACADEMY NW	2015-16	2	50%	0%	0%	50%	0%	50%	0%	0%	50%	50%	50%	50%	50%	50%	1	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	HIGHLINE SCHOOL DISTRICT	14629 20TH AVE SW	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-12	Y	Y
FAMILY HOUSE ACADEMY	2015-16	6	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	6	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	KELSO SCHOOL DISTRICT	1220 CARROLL RD	KELSO	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	K-8	Y	Y
FARWELL ELEMENTARY SCHOOL	2015-16	96	94.8%	0%	2.1%	3.1%	0%	4.2%	0%	1%	97.9%	97.9%	99%	97.9%	96.9%	95.8%	91	0	2	3	0	4	0	1	2	2	1	2	3	4	Y	PUBLIC SCHOOL	MEAD SCHOOL DISTRICT	13005 N CRESTLINE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
FEDERAL WAY PUBLIC ACADEMY	2015-16	60	60%	0%	35%	5%	0%	5%	0%	0%	61.7%	61.7%	93.3%	98.3%	93.3%	93.3%	36	0	21	3	0	3	0	0	23	23	4	1	4	4	Y	PUBLIC SCHOOL	FEDERAL WAY SCHOOL DISTRICT	34620 9TH AV S	FEDERAL WAY	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-10	N	Y
FERNWOOD ELEMENTARY	2015-16	99	94.9%	0%	2%	3%	0%	3%	0%	0%	98%	98%	99%	99%	99%	97%	94	0	2	3	0	3	0	0	2	2	1	1	1	3	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	3933 JEWELL RD	BOTHELL	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
FIDALGO ELEMENTARY	2015-16	50	86%	6%	0%	8%	0%	8%	0%	0%	86%	86%	96%	96%	96%	92%	43	3	0	4	0	4	0	0	7	7	2	2	2	4	Y	PUBLIC SCHOOL	ANACORTES SCHOOL DISTRICT	13590 GIBRALTER ROAD	ANACORTES	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
FINCH ELEMENTARY	2015-16	51	90.2%	0%	0%	9.8%	2%	5.9%	2%	0%	96.1%	96.1%	96.1%	96.1%	96.1%	90.2%	46	0	0	5	1	3	1	0	2	2	2	2	2	5	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	3717 N MILTON ST	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
FINLEY MIDDLE SCHOOL	2015-16	66	90.9%	0%	7.6%	1.5%	1.5%	0%	0%	0%	92.4%	92.4%	97%	97%	95.5%	97%	60	0	5	1	1	0	0	0	5	5	2	2	3	2	Y	PUBLIC SCHOOL	FINLEY SCHOOL DISTRICT	37208 S FINLEY RD	KENNEWICK	BENTON	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
FINN HILL JUNIOR HIGH SCHOOL	2015-16	210	81.9%	0%	13.3%	4.8%	1.4%	4.3%	0%	0%	84.8%	84.8%	96.7%	96.2%	96.2%	96.2%	172	0	28	10	3	9	0	0	32	32	7	8	8	8	Y	PUBLIC SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	8040 NE 132ND ST	KIRKLAND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
FIR GROVE CHILDRENS CENTER	2015-16	6	66.7%	0%	33.3%	0%	0%	0%	0%	0%	83.3%	83.3%	83.3%	83.3%	100%	83.3%	4	0	2	0	0	0	0	0	1	1	1	1	0	1	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	2920 FALK RD	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	1-12	N	Y
FIRGROVE ELEMENTARY	2015-16	84	95.2%	0%	1.2%	3.6%	2.4%	1.2%	0%	0%	97.6%	97.6%	97.6%	97.6%	97.6%	96.4%	80	0	1	3	2	1	0	0	2	2	2	2	2	3	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	13918 MERIDIAN S	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
FIRM FOUNDATION CHRISTIAN SCHOOL	2015-16	20	95%	0%	0%	5%	0%	5%	0%	0%	95%	95%	100%	100%	100%	100%	19	0	0	1	0	1	0	0	1	1	0	0	0	0	Y	PRIVATE SCHOOL	BATTLE GROUND SCHOOL DISTRICT	1919 SW 25TH AVE	BATTLE GROUND	CLARK	EDUCATIONAL SERVICE DISTRICT 112	P-12	Y	Y
FIRST CREEK MIDDLE SCHOOL	2015-16	271	96.7%	0%	1.5%	1.8%	0%	0.7%	1.1%	0%	98.9%	96.7%	99.3%	99.3%	99.3%	99.3%	262	0	4	5	0	2	3	0	3	9	2	2	2	2	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	1801 E. 56TH STREET	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
FIVE ACRE SCHOOL	2015-16	3	66.7%	0%	33.3%	0%	0%	0%	0%	0%	100%	100%	100%	100%	66.7%	100%	2	0	1	0	0	0	0	0	0	0	0	0	1	0	Y	PRIVATE SCHOOL	SEQUIM SCHOOL DISTRICT	515 LOTZGESELL RD	SEQUIM	CLALLAM	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	P-6	Y	Y
FIVE MILE PRAIRIE SCHOOL (MEAD EDUCATION PARTNERSHIP PROG)	2015-16	41	63.4%	0%	12.2%	24.4%	0%	24.4%	0%	0%	68.3%	68.3%	80.5%	82.9%	82.9%	78%	26	0	5	10	0	10	0	0	13	13	8	7	7	9	Y	PUBLIC SCHOOL	MEAD SCHOOL DISTRICT	8621 N FIVE MILE ROAD	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -12	Y	Y
FOOTHILLS CHRISTIAN SCHOOL	2015-16	4	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	MOUNT VERNON SCHOOL DISTRICT	1511 E BROADWAY	MT VERNON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
FOOTHILLS MIDDLE SCHOOL	2015-16	210	97.6%	0%	0%	2.4%	1%	1%	0.5%	0%	100%	100%	97.6%	98.6%	100%	98.1%	205	0	0	5	2	2	1	0	0	0	5	3	0	4	Y	PUBLIC SCHOOL	WENATCHEE SCHOOL DISTRICT	1410 MAPLE ST	WENATCHEE	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-8	N	Y
FOREST PARK ADVENTIST SCHOOL	2015-16	3	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	EVERETT SCHOOL DISTRICT	4120 FEDERAL AVE	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-8	Y	Y
FOREST RIDGE SCHOOL OF SACRED HEART	2015-16	46	97.8%	0%	0%	2.2%	0%	2.2%	0%	0%	100%	100%	100%	97.8%	100%	100%	45	0	0	1	0	1	0	0	0	0	0	1	0	0	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	4800 139TH AVE SE	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	5-12	N	Y
FORKS INTERMEDIATE SCHOOL	2015-16	83	57.8%	3.6%	26.5%	12%	10.8%	1.2%	0%	0%	59%	59%	91.6%	92.8%	91.6%	91.6%	48	3	22	10	9	1	0	0	34	34	7	6	7	7	Y	PUBLIC SCHOOL	QUILLAYUTE VALLEY SCHOOL DISTRICT	121 SOUTH SPARTAN AVE	FORKS	CLALLAM	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	6-8	N	Y
FORKS MIDDLE SCHOOL	2015-16																														N	PUBLIC SCHOOL	QUILLAYUTE VALLEY SCHOOL DISTRICT	121 SOUTH SPARTAN AVENUE	FORKS	CLALLAM	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	6-8	N	Y
FORT STEVENS ELEMENTARY	2015-16	82	63.4%	1.2%	31.7%	3.7%	2.4%	1.2%	0%	0%	65.9%	68.3%	96.3%	93.9%	95.1%	95.1%	52	1	26	3	2	1	0	0	28	26	3	5	4	4	Y	PUBLIC SCHOOL	YELM SCHOOL DISTRICT	PO BOX 476	YELM	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
FRANKLIN ELEMENTARY	2015-16	47	83%	2.1%	2.1%	12.8%	2.1%	8.5%	2.1%	0%	89.4%	89.4%	93.6%	91.5%	89.4%	91.5%	39	1	1	6	1	4	1	0	5	5	3	4	5	4	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	2627 E 17TH AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
FRANKLIN ELEMENTARY	2015-16	63	88.9%	1.6%	4.8%	4.8%	0%	4.8%	0%	0%	96.8%	96.8%	100%	96.8%	96.8%	96.8%	56	1	3	3	0	3	0	0	2	2	0	2	2	2	Y	PUBLIC SCHOOL	PORT ANGELES SCHOOL DISTRICT	2505 S WASHINGTON ST	PORT ANGELES	CLALLAM	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -6	Y	Y
FRANKLIN MIDDLE SCHOOL	2015-16	300	89.3%	1%	4.3%	5.3%	4%	1.3%	0%	0%	91%	91.3%	99%	98.7%	98.3%	98%	268	3	13	16	12	4	0	0	27	26	3	4	5	6	Y	PUBLIC SCHOOL	YAKIMA SCHOOL DISTRICT	410 S 19TH AVE	YAKIMA	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
FREDERICKSON ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	BETHEL SCHOOL DISTRICT	17418 74TH AVE E	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
FREEDOM ACADEMY	2015-16																														N	PRIVATE SCHOOL	PUYALLUP SCHOOL DISTRICT	12527 200TH ST E	GRAHAM	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-12	Y	Y
FREEMAN MIDDLE SCHOOL	2015-16	69	89.9%	2.9%	1.4%	5.8%	1.4%	4.3%	0%	0%	94.2%	94.2%	97.1%	97.1%	95.7%	94.2%	62	2	1	4	1	3	0	0	4	4	2	2	3	4	Y	PUBLIC SCHOOL	FREEMAN SCHOOL DISTRICT	14917 S JACKSON RD	ROCKFORD	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
FRENCH-AM SCHOOL OF PUGET SOUND	2015-16	28	35.7%	60.7%	0%	3.6%	0%	3.6%	0%	0%	39.3%	100%	100%	100%	96.4%	96.4%	10	17	0	1	0	1	0	0	17	0	0	0	1	1	Y	PRIVATE SCHOOL	MERCER ISLAND SCHOOL DISTRICT	3795 E MERCER WAY	MERCER ISLAND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
FRIDAY HARBOR ELEMENTARY SCHOOL	2015-16	60	40%	0%	51.7%	8.3%	0%	6.7%	1.7%	0%	43.3%	45%	93.3%	90%	93.3%	90%	24	0	31	5	0	4	1	0	34	33	4	6	4	6	Y	PUBLIC SCHOOL	SAN JUAN ISLAND SCHOOL DISTRICT	PO BOX 458	FRIDAY HARBOR	SAN JUAN	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
FRONTIER MIDDLE SCHOOL	2015-16	241	77.2%	0.4%	15.8%	6.6%	0.8%	5.4%	0.4%	0%	80.9%	80.9%	95.9%	96.3%	96.7%	95.9%	186	1	38	16	2	13	1	0	46	46	10	9	8	10	Y	PUBLIC SCHOOL	MOSES LAKE SCHOOL DISTRICT	517 WEST THIRD AVENUE	MOSES LAKE	GRANT	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-8	N	Y
FRONTIER MIDDLE SCHOOL	2015-16	268	68.3%	0%	21.3%	10.4%	0.7%	7.5%	2.6%	0%	71.3%	73.1%	89.9%	91%	90.7%	87.7%	183	0	57	28	2	20	7	0	77	72	27	24	25	33	Y	PUBLIC SCHOOL	EVERGREEN SCHOOL DISTRICT (CLARK)	7600 NE 166TH AVENUE	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
FRUITLAND ELEMENTARY	2015-16	84	86.9%	1.2%	6%	6%	2.4%	3.6%	0%	0%	96.4%	89.3%	95.2%	97.6%	95.2%	96.4%	73	1	5	5	2	3	0	0	3	9	4	2	4	3	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	1515 FRUITLAND AVE	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
GAISER MIDDLE SCHOOL	2015-16	326	89.6%	0.9%	2.8%	6.7%	0.3%	5.5%	0.9%	0%	92.6%	92.6%	95.1%	95.4%	96%	93.6%	292	3	9	22	1	18	3	0	24	24	16	15	13	21	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	3000 NE 99TH ST	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
GARDNER SCHOOL	2015-16	8	50%	25%	0%	25%	0%	25%	0%	0%	50%	50%	75%	100%	75%	75%	4	2	0	2	0	2	0	0	4	4	2	0	2	2	Y	PRIVATE SCHOOL	BATTLE GROUND SCHOOL DISTRICT	16413 NE 50TH AVE	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	P-8	Y	Y
GARFIELD AT PALOUSE MIDDLE SCHOOL	2015-16	23	69.6%	0%	13%	17.4%	0%	17.4%	0%	0%	73.9%	73.9%	82.6%	87%	87%	82.6%	16	0	3	4	0	4	0	0	6	6	4	3	3	4	Y	PUBLIC SCHOOL	GARFIELD PALOUSE SCHOOL DISTRICT	POB 398	GARFIELD	WHITMAN	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
GARFIELD ELEMENTARY	2015-16	56	87.5%	0%	0%	12.5%	0%	10.7%	0%	1.8%	89.3%	89.3%	92.9%	94.6%	94.6%	92.9%	49	0	0	7	0	6	0	1	6	6	4	3	3	4	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	222 W KNOX AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
GARRISON MIDDLE SCHOOL	2015-16	199	80.4%	0%	16.1%	3.5%	0%	3%	0.5%	0%	81.9%	81.9%	99%	98.5%	97%	97.5%	160	0	32	7	0	6	1	0	36	36	2	3	6	5	Y	PUBLIC SCHOOL	WALLA WALLA PUBLIC SCHOOLS	906 CHASE ST	WALLA WALLA	WALLA WALLA	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
GATEWAY CHRISTIAN SCHOOLS	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	NORTH KITSAP SCHOOL DISTRICT	705 NE LINCOLN RD	POULSBO	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	P-6	Y	Y
GATEWAY MIDDLE SCHOOL	2015-16	318	87.1%	0.9%	10.1%	1.9%	0.6%	1.3%	0%	0%	98.7%	87.7%	98.7%	98.7%	99.1%	98.7%	277	3	32	6	2	4	0	0	4	39	4	4	3	4	Y	PUBLIC SCHOOL	EVERETT SCHOOL DISTRICT	15404 SILVER FIRS DR	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
GEORGE T. DANIEL ELEMENTARY SCHOOL	2015-16	63	66.7%	3.2%	28.6%	1.6%	1.6%	0%	0%	0%	68.3%	71.4%	100%	96.8%	96.8%	96.8%	42	2	18	1	1	0	0	0	20	18	0	2	2	2	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	11310 SE 248TH ST	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
GESS ELEMENTARY	2015-16	51	84.3%	0%	0%	15.7%	0%	15.7%	0%	0%	90.2%	94.1%	90.2%	92.2%	90.2%	84.3%	43	0	0	8	0	8	0	0	5	3	5	4	5	8	Y	PUBLIC SCHOOL	CHEWELAH SCHOOL DISTRICT	P.O. BOX 7	CHEWELAH	STEVENS	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
GLACIER MIDDLE SCHOOL	2015-16	257	94.2%	0%	0.4%	5.4%	1.2%	4.3%	0%	0%	95.7%	95.7%	95.7%	96.1%	96.1%	95.7%	242	0	1	14	3	11	0	0	11	11	11	10	10	11	Y	PUBLIC SCHOOL	WHITE RIVER SCHOOL DISTRICT	PO BOX 1683	BUCKLEY	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
GLENDALE LUTHERAN SCHOOL	2015-16	4	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	HIGHLINE SCHOOL DISTRICT	13455 2ND AVE SW	BURIEN	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
GLENRIDGE ELEMENTARY	2015-16	60	71.7%	0%	18.3%	10%	1.7%	8.3%	0%	0%	78.3%	81.7%	96.7%	96.7%	96.7%	93.3%	43	0	11	6	1	5	0	0	13	11	2	2	2	4	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	19405 120TH AVE SE	RENTON	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
GLENWOOD ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	GLENWOOD SCHOOL DISTRICT	PO BOX 12	GLENWOOD	KLICKITAT	EDUCATIONAL SERVICE DISTRICT 112	K -6	Y	Y
GOLDENDALE CHRISTIAN SCHOOL	2015-16																														N	PRIVATE SCHOOL	GOLDENDALE SCHOOL DISTRICT	1180 S ROOSEVELT	GOLDENDALE	KLICKITAT	EDUCATIONAL SERVICE DISTRICT 105	P-12	Y	Y
GOLDENDALE MIDDLE SCHOOL	2015-16	64	89.1%	0%	3.1%	7.8%	0%	7.8%	0%	0%	96.9%	96.9%	98.4%	98.4%	98.4%	90.6%	57	0	2	5	0	5	0	0	2	2	1	1	1	6	Y	PUBLIC SCHOOL	GOLDENDALE SCHOOL DISTRICT	520 E. COLLINS DR.	GOLDENDALE	KLICKITAT	EDUCATIONAL SERVICE DISTRICT 105	5-8	N	Y
GOODMAN MIDDLE SCHOOL	2015-16	161	91.3%	0%	1.9%	6.8%	0.6%	5.6%	0.6%	0.6%	95.7%	95.7%	96.3%	95.7%	95.7%	94.4%	147	0	3	11	1	9	1	1	7	7	6	7	7	9	Y	PUBLIC SCHOOL	PENINSULA SCHOOL DISTRICT	3701 38TH AVE NW	GIG HARBOR	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
GOSPEL OUTREACH	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	OLYMPIA SCHOOL DISTRICT	1925 SOUTH BAY RD	OLYMPIA	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	2-12	N	Y
GRACE ACADEMY	2015-16	24	95.8%	0%	0%	4.2%	0%	4.2%	0%	0%	95.8%	95.8%	95.8%	95.8%	95.8%	95.8%	23	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	MARYSVILLE SCHOOL DISTRICT	8521 67TH AVE NE	MARYSVILLE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
